book_id,copy_count,access_type_sample
B_03b2d74d906f2f,1,
B_03b367961a55df,1,
B_03b381578f4b23,1,
B_03b7fc60e8e137,2,
B_03bca5387cc320,1,
B_03bca68b6059cf,2,Dapat dipinjam
B_03bcc2d91aa558,4,
B_03c01ece54e7aa,1,
B_03c10baeb95473,1,
B_03c458588ff0df,1,
B_03c465b083b2a7,1,
B_03c5208c2cd3ac,1,
B_03c68308048317,1,
B_03c78deb0380b0,1,
B_03cca6ab1ba77f,5,
B_03ce3c65bf777b,1,
B_03d0f0a11d2d31,4,
B_03d24c93e53709,2,
B_03d2f5b325117b,2,
B_03d3d5e5750903,4,
B_03d9d022437e94,1,
B_03db0640356c9c,1,
B_03dba367ae31c6,4,
B_03dde02b183e35,1,
B_03de7cbaf1e61d,2,
B_03df9593632c9a,1,
B_03dfb1ad8cc920,22,
B_03dfcc15a6ed04,4,
B_03e1c4a2c55c93,1,
B_03e479af3245e1,1,
B_03e9a46be8d154,1,
B_03ea065cb21661,1,
B_03eb27dc048d89,1,
B_03ebf1cb64183a,2,
B_03ed9bf456048f,2,
B_03f031f4f41319,1,
B_03f3c2cf5d1869,4,
B_03f3c77be6e02b,1,
B_03f48a7ce68a5c,2,
B_03f765e308994e,5,
B_03f8b614eddf0d,1,
B_03fb4cc48b140d,1,
B_03ff0166e97b96,1,
B_03ff73b594ebb3,1,
B_03ff816db21ded,2,
B_0401f2e1758d4b,3,
B_0405de0510a0bb,3,
B_0406d1760efa21,2,
B_04092a048919e2,1,
B_040a7d0bad9388,2,
B_040cb11f78fa0d,2,
B_040ccdc970654b,1,
B_040d585811acaf,1,
B_0410c08c5ef4e7,4,
B_0410fedfd5a2ec,1,
B_0413caaad5dc22,3,
B_04146dce655634,1,
B_04176d63390487,1,
B_041965761c1035,4,
B_04199808f0ab99,3,Dapat dipinjam
B_041b8b175dd4ed,1,
B_041d5cfbee4c63,1,
B_041dcdf4f592d5,2,
B_0421210f7e3e5b,4,
B_04235da878eb80,1,Dapat dipinjam
B_04239927fa9bc0,2,
B_0425d1ecd6fd77,2,Dapat dipinjam
B_0426d99d742329,1,
